
Code
Dimension   Fixed Cost    Capacity
40	1187	120
Facility	Client	Transportation Cost	Demand
1	1	0.0	29
28	1	25.4	29
26	1	25.7	29
11	1	37.0	29
2	2	0.0	28
26	2	23.5	28
11	2	26.3	28
5	2	29.1	28
3	3	0.0	11
20	3	12.9	11
23	3	14.1	11
8	3	17.3	11
4	4	0.0	21
10	4	23.0	21
38	4	29.4	21
21	4	33.9	21
5	5	0.0	20
2	5	20.8	20
12	5	21.3	20
35	5	27.3	20
6	6	0.0	30
3	6	71.7	30
22	6	76.3	30
23	6	83.3	30
7	7	0.0	22
9	7	24.9	22
37	7	36.8	22
28	7	39.9	22
8	8	0.0	34
20	8	17.5	34
1	8	47.6	34
26	8	49.6	34
9	9	0.0	35
37	9	28.0	35
7	9	39.6	35
28	9	94.5	35
10	10	0.0	6
38	10	4.3	6
39	10	5.7	6
19	10	5.9	6
11	11	0.0	18
28	11	8.9	18
2	11	16.9	18
26	11	18.6	18
12	12	0.0	7
13	12	6.8	7
5	12	7.4	7
21	12	10.2	7
13	13	0.0	8
21	13	5.7	8
12	13	7.7	8
5	13	12.5	8
14	14	0.0	19
40	14	17.4	19
24	14	24.0	19
17	14	27.1	19
15	15	0.0	18
18	15	12.9	18
21	15	17.2	18
13	15	30.1	18
16	16	0.0	27
36	16	33.5	27
25	16	33.9	27
32	16	42.6	27
17	17	0.0	18
24	17	7.2	18
40	17	10.3	18
34	17	16.8	18
18	18	0.0	31
15	18	22.2	31
21	18	36.9	31
13	18	55.4	31
19	19	0.0	24
39	19	3.6	24
38	19	17.7	24
10	19	23.8	24
20	20	0.0	12
8	20	6.2	12
3	20	14.1	12
29	20	18.1	12
21	21	0.0	19
13	21	13.6	19
15	21	18.2	19
18	21	22.6	19
22	22	0.0	27
27	22	29.0	27
8	22	58.5	27
1	22	59.2	27
23	23	0.0	8
3	23	10.3	8
29	23	11.5	8
33	23	12.4	8
24	24	0.0	33
17	24	13.2	33
40	24	20.9	33
34	24	32.4	33
25	25	0.0	6
36	25	3.7	6
16	25	7.5	6
34	25	8.0	6
26	26	0.0	29
2	26	24.3	29
1	26	25.7	29
28	26	28.9	29
27	27	0.0	6
22	27	6.4	6
1	27	9.6	6
28	27	12.9	6
28	28	0.0	18
11	28	8.9	18
1	28	15.7	18
26	28	18.0	18
29	29	0.0	30
23	29	43.3	30
20	29	45.2	30
3	29	49.7	30
30	30	0.0	6
14	30	8.6	6
32	30	9.5	6
24	30	13.1	6
31	31	0.0	23
33	31	23.1	23
14	31	47.8	23
23	31	51.6	23
32	32	0.0	10
16	32	15.8	10
30	32	15.9	10
24	32	19.6	10
33	33	0.0	33
31	33	33.1	33
23	33	51.2	33
14	33	89.1	33
34	34	0.0	27
36	34	22.4	27
17	34	25.1	27
24	34	26.5	27
35	35	0.0	22
2	35	24.4	22
26	35	26.5	22
5	35	30.0	22
36	36	0.0	12
25	36	7.4	12
34	36	9.9	12
16	36	14.9	12
37	37	0.0	12
9	37	9.6	12
7	37	20.1	12
28	37	40.9	12
38	38	0.0	26
39	38	15.8	26
10	38	18.8	26
19	38	19.2	26
39	39	0.0	14
19	39	2.1	14
38	39	8.5	14
10	39	13.4	14
40	40	0.0	24
17	40	13.7	24
24	40	15.2	24
14	40	22.0	24
