
Code
Dimension   Fixed Cost    Capacity
40	1162	113
Facility	Client	Transportation Cost	Demand
1	1	0.0	9
40	1	4.7	9
2	1	4.9	9
25	1	9.4	9
2	2	0.0	13
1	2	7.0	13
40	2	13.0	13
25	2	15.0	13
3	3	0.0	7
16	3	2.7	7
10	3	2.9	7
24	3	7.9	7
4	4	0.0	25
19	4	5.5	25
37	4	23.6	25
5	4	27.6	25
5	5	0.0	31
37	5	20.2	31
19	5	31.5	31
4	5	34.2	31
6	6	0.0	13
25	6	20.5	13
21	6	20.5	13
2	6	23.5	13
7	7	0.0	10
14	7	6.8	10
26	7	16.4	10
11	7	20.6	10
8	8	0.0	13
32	8	9.1	13
30	8	14.8	13
15	8	21.7	13
9	9	0.0	8
12	9	2.0	8
38	9	6.5	8
18	9	12.5	8
10	10	0.0	30
16	10	6.7	30
3	10	12.3	30
24	10	32.5	30
11	11	0.0	6
26	11	2.6	6
4	11	9.4	6
14	11	9.5	6
12	12	0.0	6
9	12	1.5	6
38	12	5.6	6
18	12	8.8	6
13	13	0.0	24
17	13	27.1	24
27	13	29.2	24
14	13	44.0	24
14	14	0.0	34
7	14	23.3	34
26	14	39.1	34
11	14	54.1	34
15	15	0.0	27
30	15	30.7	27
8	15	45.0	27
32	15	55.8	27
16	16	0.0	15
10	16	3.3	15
3	16	5.8	15
24	16	19.3	15
17	17	0.0	14
27	17	11.6	14
13	17	15.8	14
22	17	25.5	14
18	18	0.0	24
12	18	35.1	24
9	18	37.4	24
33	18	39.0	24
19	19	0.0	19
4	19	4.2	19
37	19	14.3	19
5	19	19.3	19
20	20	0.0	13
15	20	32.8	13
32	20	46.4	13
30	20	47.1	13
21	21	0.0	9
29	21	6.4	9
25	21	7.2	9
40	21	14.1	9
22	22	0.0	33
27	22	35.4	33
35	22	37.3	33
17	22	60.1	33
23	23	0.0	15
31	23	8.3	15
29	23	21.5	15
40	23	26.5	15
24	24	0.0	35
10	24	37.9	35
3	24	39.6	35
16	24	45.0	35
25	25	0.0	10
21	25	7.9	10
40	25	8.5	10
1	25	10.5	10
26	26	0.0	31
11	26	13.6	31
14	26	35.6	31
4	26	49.5	31
27	27	0.0	5
17	27	4.1	5
22	27	5.4	5
13	27	6.1	5
28	28	0.0	23
32	28	58.7	23
8	28	59.9	23
6	28	61.7	23
29	29	0.0	34
21	29	24.2	34
25	29	35.7	34
23	29	48.8	34
30	30	0.0	6
15	30	6.8	6
8	30	6.8	6
32	30	10.9	6
31	31	0.0	28
23	31	15.5	28
33	31	49.1	28
40	31	49.2	28
32	32	0.0	14
8	32	9.8	14
30	32	25.3	14
15	32	28.9	14
33	33	0.0	33
18	33	53.6	33
31	33	57.9	33
23	33	61.5	33
34	34	0.0	13
35	34	15.9	13
22	34	30.4	13
3	34	31.1	13
35	35	0.0	15
22	35	16.9	15
34	35	18.4	15
27	35	32.5	15
36	36	0.0	35
38	36	40.9	35
10	36	60.2	35
16	36	62.9	35
37	37	0.0	28
5	37	18.3	28
19	37	21.0	28
39	37	22.9	28
38	38	0.0	26
9	38	21.0	26
12	38	24.3	26
36	38	30.4	26
39	39	0.0	6
37	39	4.9	6
19	39	8.0	6
5	39	8.5	6
40	40	0.0	16
1	40	8.4	16
25	40	13.6	16
2	40	16.0	16
