
Code
Dimension   Fixed Cost    Capacity
40	1158	113
Facility	Client	Transportation Cost	Demand
1	1	0.0	13
26	1	10.6	13
5	1	11.5	13
16	1	17.4	13
2	2	0.0	14
14	2	17.4	14
22	2	22.5	14
32	2	23.2	14
3	3	0.0	35
17	3	30.7	35
28	3	45.9	35
29	3	46.8	35
4	4	0.0	19
40	4	31.7	19
28	4	32.4	19
3	4	35.3	19
5	5	0.0	16
26	5	3.2	16
1	5	14.1	16
16	5	31.9	16
6	6	0.0	13
8	6	6.9	13
13	6	19.9	13
36	6	22.2	13
7	7	0.0	14
32	7	20.7	14
33	7	23.6	14
16	7	24.3	14
8	8	0.0	16
6	8	8.5	16
13	8	17.9	16
30	8	23.2	16
9	9	0.0	25
10	9	52.4	25
29	9	56.5	25
17	9	62.4	25
10	10	0.0	23
9	10	48.2	23
35	10	54.8	23
31	10	64.7	23
11	11	0.0	19
21	11	10.5	19
10	11	53.7	19
35	11	56.8	19
12	12	0.0	25
34	12	23.6	25
30	12	28.0	25
8	12	37.5	25
13	13	0.0	32
8	13	35.7	32
30	13	35.7	32
6	13	48.9	32
14	14	0.0	19
2	14	23.7	19
20	14	28.3	19
36	14	31.0	19
15	15	0.0	20
18	15	32.8	20
7	15	38.3	20
16	15	40.4	20
16	16	0.0	28
39	16	29.3	28
1	16	37.4	28
33	16	43.9	28
17	17	0.0	13
3	17	11.4	13
22	17	16.3	13
29	17	24.4	13
18	18	0.0	11
40	18	12.5	11
15	18	18.0	11
23	18	21.2	11
19	19	0.0	25
6	19	43.5	25
25	19	50.6	25
8	19	53.7	25
20	20	0.0	9
14	20	13.4	9
36	20	15.8	9
37	20	18.2	9
21	21	0.0	5
11	21	2.8	5
10	21	16.2	5
35	21	17.7	5
22	22	0.0	16
17	22	20.1	16
2	22	25.7	16
31	22	31.3	16
23	23	0.0	8
38	23	5.0	8
24	23	5.1	8
40	23	6.6	8
24	24	0.0	22
38	24	3.0	22
27	24	8.1	22
23	24	14.1	22
25	25	0.0	25
19	25	50.6	25
20	25	58.2	25
37	25	64.6	25
26	26	0.0	7
5	26	1.4	7
1	26	5.7	7
16	26	14.2	7
27	27	0.0	26
24	27	9.6	26
38	27	9.8	26
28	27	24.7	26
28	28	0.0	9
38	28	7.9	9
27	28	8.5	9
24	28	9.1	9
29	29	0.0	21
3	29	28.1	21
17	29	39.5	21
28	29	41.2	21
30	30	0.0	25
34	30	19.7	25
13	30	27.9	25
12	30	28.0	25
31	31	0.0	7
35	31	6.7	7
37	31	9.5	7
2	31	12.3	7
32	32	0.0	32
7	32	47.3	32
2	32	53.1	32
4	32	63.2	32
33	33	0.0	8
39	33	9.2	8
16	33	12.6	8
7	33	13.5	8
34	34	0.0	33
30	34	26.0	33
12	34	31.1	33
13	34	62.8	33
35	35	0.0	26
37	35	21.9	26
31	35	24.8	26
10	35	61.9	26
36	36	0.0	15
12	36	23.7	15
14	36	24.5	15
6	36	25.6	15
37	37	0.0	23
35	37	19.4	23
31	37	31.1	23
20	37	46.6	23
38	38	0.0	10
24	38	1.4	10
27	38	3.8	10
23	38	6.2	10
39	39	0.0	15
16	39	15.7	15
33	39	17.2	15
1	39	28.0	15
40	40	0.0	32
23	40	26.6	32
18	40	36.4	32
38	40	43.8	32
