
Code
Dimension   Fixed Cost    Capacity
40	1212	124
Facility	Client	Transportation Cost	Demand
1	1	0.0	25
26	1	13.8	25
8	1	28.8	25
40	1	30.5	25
2	2	0.0	22
33	2	13.9	22
34	2	26.3	22
23	2	31.2	22
3	3	0.0	17
32	3	23.1	17
10	3	24.5	17
6	3	25.8	17
4	4	0.0	16
21	4	8.4	16
14	4	22.8	16
18	4	26.7	16
5	5	0.0	14
16	5	17.1	14
20	5	20.4	14
35	5	25.6	14
6	6	0.0	5
18	6	6.6	5
7	6	6.8	5
3	6	7.6	5
7	7	0.0	20
32	7	19.6	20
18	7	20.1	20
27	7	22.3	20
8	8	0.0	19
1	8	21.9	19
35	8	23.1	19
40	8	31.4	19
9	9	0.0	24
19	9	18.0	24
22	9	29.1	24
25	9	36.9	24
10	10	0.0	11
23	10	14.2	11
3	10	15.9	11
2	10	16.4	11
11	11	0.0	31
31	11	18.2	31
17	11	28.4	31
36	11	42.3	31
12	12	0.0	19
38	12	6.9	19
30	12	15.0	19
34	12	17.1	19
13	13	0.0	35
32	13	64.0	35
3	13	64.9	35
27	13	65.4	35
14	14	0.0	35
4	14	49.9	35
21	14	66.5	35
40	14	69.5	35
15	15	0.0	6
27	15	10.4	6
32	15	12.6	6
13	15	13.3	6
16	16	0.0	7
20	16	2.5	7
5	16	8.5	7
17	16	10.5	7
17	17	0.0	10
31	17	7.8	10
11	17	9.1	10
36	17	11.2	10
18	18	0.0	14
7	18	14.1	14
21	18	16.4	14
6	18	18.4	14
19	19	0.0	17
9	19	12.8	17
25	19	21.8	17
30	19	30.5	17
20	20	0.0	25
16	20	9.0	25
17	20	34.3	25
5	20	36.5	25
21	21	0.0	22
4	21	11.5	22
18	21	25.7	22
6	21	36.9	22
22	22	0.0	28
28	22	32.5	28
9	22	33.9	28
36	22	53.8	28
23	23	0.0	28
24	23	31.6	28
10	23	36.2	28
2	23	39.7	28
24	24	0.0	13
23	24	14.7	13
2	24	21.9	13
33	24	22.5	13
25	25	0.0	17
30	25	12.7	17
38	25	21.7	17
19	25	21.8	17
26	26	0.0	24
1	26	13.3	24
40	26	29.1	24
8	26	40.6	24
27	27	0.0	22
32	27	8.6	22
7	27	24.6	22
3	27	38.1	22
28	28	0.0	24
22	28	27.9	24
9	28	49.6	24
25	28	52.2	24
29	29	0.0	22
12	29	45.1	22
24	29	50.3	22
38	29	51.4	22
30	30	0.0	27
38	30	16.9	27
25	30	20.2	27
12	30	21.3	27
31	31	0.0	12
11	31	7.0	12
17	31	9.4	12
36	31	20.1	12
32	32	0.0	32
27	32	12.5	32
7	32	31.3	32
3	32	43.5	32
33	33	0.0	16
34	33	9.7	16
2	33	10.1	16
12	33	23.0	16
34	34	0.0	26
33	34	15.7	26
30	34	22.5	26
12	34	23.4	26
35	35	0.0	32
40	35	25.3	32
8	35	38.9	32
1	35	45.8	32
36	36	0.0	32
17	36	35.8	32
11	36	43.7	32
31	36	53.7	32
37	37	0.0	18
39	37	17.5	18
10	37	36.0	18
19	37	37.9	18
38	38	0.0	17
12	38	6.1	17
30	38	10.6	17
34	38	18.5	17
39	39	0.0	15
37	39	14.6	15
14	39	29.9	15
6	39	35.1	15
40	40	0.0	29
35	40	22.9	29
26	40	35.2	29
1	40	35.4	29
