
Code
Dimension   Fixed Cost    Capacity
35	1139	110
Facility	Client	Transportation Cost	Demand
1	1	0.0	19
5	1	11.0	19
16	1	28.3	19
2	2	0.0	34
23	2	10.4	34
8	2	45.3	34
3	3	0.0	17
10	3	4.8	17
7	3	11.7	17
4	4	0.0	20
21	4	27.4	20
18	4	37.7	20
5	5	0.0	24
1	5	13.9	24
31	5	40.9	24
6	6	0.0	11
12	6	15.7	11
17	6	17.2	11
7	7	0.0	9
3	7	6.2	9
10	7	8.5	9
8	8	0.0	23
23	8	25.0	23
2	8	30.6	23
9	9	0.0	6
29	9	5.1	6
27	9	7.0	6
10	10	0.0	16
3	10	4.6	16
7	10	15.0	16
11	11	0.0	22
20	11	18.4	22
10	11	23.3	22
12	12	0.0	23
17	12	5.4	23
7	12	26.2	23
13	13	0.0	30
22	13	6.6	30
16	13	25.1	30
14	14	0.0	11
19	14	4.8	11
24	14	9.6	11
15	15	0.0	31
17	15	41.6	31
19	15	44.9	31
16	16	0.0	23
22	16	18.4	23
13	16	19.2	23
17	17	0.0	10
12	17	2.4	10
7	17	10.9	10
18	18	0.0	23
21	18	12.1	23
33	18	38.4	23
19	19	0.0	24
14	19	10.4	24
24	19	23.6	24
20	20	0.0	28
11	20	23.4	28
35	20	23.8	28
21	21	0.0	11
18	21	5.8	11
4	21	15.1	11
22	22	0.0	9
13	22	2.0	9
16	22	7.2	9
23	23	0.0	30
2	23	9.2	30
8	23	32.6	30
24	24	0.0	5
30	24	1.2	5
14	24	4.4	5
25	25	0.0	27
34	25	27.7	27
20	25	40.6	27
26	26	0.0	17
27	26	13.0	17
29	26	17.6	17
27	27	0.0	5
29	27	2.8	5
26	27	3.8	5
28	28	0.0	6
25	28	18.5	6
34	28	21.9	6
29	29	0.0	34
27	29	19.2	34
9	29	28.7	34
30	30	0.0	17
24	30	4.2	17
14	30	16.3	17
31	31	0.0	16
1	31	26.1	16
5	31	27.2	16
32	32	0.0	20
8	32	43.9	20
29	32	48.8	20
33	33	0.0	25
21	33	39.9	25
18	33	41.8	25
34	34	0.0	5
25	34	5.1	5
35	34	7.7	5
35	35	0.0	11
20	35	9.3	11
12	35	15.7	11
