
Code
Dimension   Fixed Cost    Capacity
40	1184	118
Facility	Client	Transportation Cost	Demand
1	1	0.0	17
37	1	23.9	17
14	1	24.6	17
2	1	27.3	17
2	2	0.0	28
35	2	26.0	28
16	2	32.9	28
1	2	44.9	28
3	3	0.0	6
10	3	8.7	6
17	3	12.6	6
9	3	13.8	6
4	4	0.0	22
14	4	16.4	22
1	4	44.6	22
35	4	47.0	22
5	5	0.0	15
28	5	11.4	15
30	5	28.4	15
40	5	32.1	15
6	6	0.0	7
38	6	1.3	7
13	6	17.1	7
40	6	19.4	7
7	7	0.0	35
37	7	38.0	35
5	7	77.5	35
1	7	79.6	35
8	8	0.0	31
22	8	13.8	31
30	8	44.6	31
28	8	50.5	31
9	9	0.0	18
32	9	20.1	18
18	9	20.8	18
10	9	22.1	18
10	10	0.0	20
17	10	17.3	20
9	10	24.5	20
18	10	26.8	20
11	11	0.0	26
23	11	16.0	26
32	11	33.7	26
9	11	59.3	26
12	12	0.0	34
25	12	35.3	34
20	12	61.1	34
1	12	67.0	34
13	13	0.0	25
40	13	11.2	25
5	13	55.0	25
38	13	60.2	25
14	14	0.0	13
4	14	9.7	13
1	14	18.8	13
35	14	20.3	13
15	15	0.0	7
29	15	7.2	7
39	15	8.0	7
31	15	11.7	7
16	16	0.0	33
2	16	38.8	33
25	16	51.1	33
35	16	59.6	33
17	17	0.0	12
10	17	10.4	12
27	17	10.5	12
18	17	13.9	12
18	18	0.0	6
26	18	6.6	6
9	18	6.9	6
17	18	7.0	6
19	19	0.0	19
24	19	16.3	19
34	19	29.0	19
29	19	31.2	19
20	20	0.0	35
26	20	27.7	35
33	20	36.9	35
12	20	62.9	35
21	21	0.0	23
39	21	19.6	23
31	21	27.9	23
15	21	39.6	23
22	22	0.0	22
8	22	9.8	22
28	22	34.8	22
24	22	35.4	22
23	23	0.0	23
11	23	14.2	23
32	23	21.4	23
9	23	46.9	23
24	24	0.0	12
19	24	10.3	12
29	24	12.1	12
34	24	18.3	12
25	25	0.0	9
12	25	9.4	9
16	25	13.9	9
33	25	16.4	9
26	26	0.0	27
20	26	21.3	27
18	26	29.9	27
33	26	42.1	27
27	27	0.0	30
17	27	26.3	30
18	27	40.7	30
10	27	51.6	30
28	28	0.0	6
5	28	4.6	6
22	28	9.5	6
8	28	9.8	6
29	29	0.0	17
24	29	17.1	17
15	29	17.4	17
34	29	19.9	17
30	30	0.0	23
8	30	33.1	23
27	30	40.0	23
22	30	42.4	23
31	31	0.0	10
21	31	12.1	10
39	31	16.3	10
15	31	16.7	10
32	32	0.0	8
23	32	7.5	8
9	32	8.9	8
11	32	10.4	8
33	33	0.0	17
20	33	17.9	17
26	33	26.5	17
25	33	31.0	17
34	34	0.0	18
29	34	21.1	18
19	34	27.5	18
24	34	27.5	18
35	35	0.0	35
2	35	32.6	35
14	35	54.6	35
16	35	63.2	35
36	36	0.0	16
39	36	31.5	16
40	36	32.6	16
13	36	39.7	16
37	37	0.0	20
7	37	21.7	20
1	37	28.2	20
12	37	41.4	20
38	38	0.0	32
6	38	5.9	32
13	38	77.0	32
40	38	88.1	32
39	39	0.0	12
21	39	10.2	12
15	39	13.7	12
31	39	19.6	12
40	40	0.0	21
13	40	9.4	21
36	40	42.8	21
5	40	45.0	21
