
Code
Dimension   Fixed Cost    Capacity
30	1124	110
Facility	Client	Transportation Cost	Demand
1	1	0.0	35
6	1	47.7	35
27	1	53.8	35
2	2	0.0	28
6	2	29.9	28
1	2	46.6	28
3	3	0.0	5
15	3	2.0	5
26	3	3.7	5
4	4	0.0	13
21	4	10.8	13
23	4	20.5	13
5	5	0.0	31
18	5	32.0	31
20	5	47.7	31
6	6	0.0	12
2	6	12.8	12
1	6	16.3	12
7	7	0.0	17
23	7	10.8	17
12	7	18.3	17
8	8	0.0	13
25	8	38.4	13
13	8	48.5	13
9	9	0.0	25
27	9	27.0	25
3	9	30.9	25
10	10	0.0	35
5	10	54.3	35
2	10	80.7	35
11	11	0.0	15
12	11	7.1	15
23	11	12.7	15
12	12	0.0	32
23	12	14.6	32
11	12	15.1	32
13	13	0.0	15
10	13	34.6	15
25	13	43.1	15
14	14	0.0	23
29	14	11.8	23
24	14	17.9	23
15	15	0.0	32
26	15	11.1	32
3	15	12.7	32
16	16	0.0	15
28	16	1.3	15
18	16	19.1	15
17	17	0.0	10
29	17	7.0	10
24	17	9.0	10
18	18	0.0	30
5	18	31.0	30
20	18	35.9	30
19	19	0.0	18
16	19	34.5	18
28	19	36.0	18
20	20	0.0	9
22	20	5.6	9
18	20	10.8	9
21	21	0.0	5
4	21	4.2	5
14	21	8.5	5
22	22	0.0	12
20	22	7.4	12
18	22	21.6	12
23	23	0.0	10
12	23	4.5	10
7	23	6.4	10
24	24	0.0	17
29	24	5.3	17
14	24	13.2	17
25	25	0.0	6
24	25	13.6	6
29	25	15.4	6
26	26	0.0	10
30	26	1.7	10
15	26	3.5	10
27	27	0.0	28
9	27	30.2	28
1	27	43.0	28
28	28	0.0	9
16	28	0.8	9
18	28	10.9	9
29	29	0.0	20
24	29	6.2	20
14	29	10.3	20
30	30	0.0	23
26	30	3.9	23
15	30	10.5	23
