
Code
Dimension   Fixed Cost    Capacity
40	1228	125
Facility	Client	Transportation Cost	Demand
1	1	0.0	27
21	1	34.6	27
38	1	56.5	27
14	1	59.3	27
2	2	0.0	32
35	2	2.7	32
4	2	19.3	32
33	2	34.0	32
3	3	0.0	29
6	3	23.0	29
32	3	24.1	29
30	3	38.3	29
4	4	0.0	16
2	4	9.6	16
35	4	10.3	16
32	4	13.4	16
5	5	0.0	16
14	5	16.8	16
38	5	21.5	16
16	5	33.8	16
6	6	0.0	24
3	6	19.0	24
32	6	24.0	24
28	6	29.6	24
7	7	0.0	24
26	7	46.7	24
34	7	56.4	24
22	7	59.2	24
8	8	0.0	25
13	8	6.5	25
33	8	14.7	25
2	8	29.6	25
9	9	0.0	31
36	9	28.0	31
40	9	61.5	31
23	9	68.2	31
10	10	0.0	27
38	10	36.5	27
21	10	44.3	27
14	10	54.9	27
11	11	0.0	14
25	11	11.7	14
24	11	12.0	14
34	11	13.9	14
12	12	0.0	9
40	12	7.8	9
19	12	12.5	9
20	12	16.3	9
13	13	0.0	5
8	13	1.3	5
33	13	3.8	5
30	13	6.2	5
14	14	0.0	14
38	14	9.6	14
5	14	14.7	14
16	14	21.1	14
15	15	0.0	21
16	15	22.3	21
24	15	30.1	21
37	15	40.9	21
16	16	0.0	31
15	16	33.0	31
14	16	46.6	31
24	16	50.1	31
17	17	0.0	10
39	17	17.9	10
36	17	20.5	10
40	17	20.8	10
18	18	0.0	21
28	18	13.9	21
31	18	29.0	21
6	18	39.4	21
19	19	0.0	24
12	19	33.3	24
20	19	43.3	24
39	19	45.4	24
20	20	0.0	5
31	20	3.2	5
19	20	9.0	5
12	20	9.1	5
21	21	0.0	21
1	21	26.9	21
10	21	34.5	21
38	21	43.9	21
22	22	0.0	25
29	22	10.0	25
23	22	11.5	25
26	22	37.1	25
23	23	0.0	31
29	23	8.7	31
22	23	14.3	31
37	23	53.1	31
24	24	0.0	14
25	24	10.9	14
11	24	12.0	14
37	24	14.3	14
25	25	0.0	12
24	25	9.4	12
26	25	9.9	12
11	25	10.0	12
26	26	0.0	33
25	26	27.2	33
11	26	40.1	33
34	26	42.2	33
27	27	0.0	13
7	27	39.4	13
26	27	64.7	13
34	27	66.7	13
28	28	0.0	9
18	28	6.0	9
6	28	11.1	9
31	28	14.2	9
29	29	0.0	25
23	29	7.0	25
22	29	10.0	25
37	29	35.9	25
30	30	0.0	30
13	30	37.3	30
8	30	37.7	30
3	30	39.7	30
31	31	0.0	13
20	31	8.4	13
18	31	18.0	13
28	31	20.5	13
32	32	0.0	23
3	32	19.1	23
4	32	19.3	23
6	32	23.0	23
33	33	0.0	32
8	33	18.8	32
13	33	24.4	32
2	33	34.0	32
34	34	0.0	31
11	34	30.8	31
26	34	39.6	31
25	34	47.3	31
35	35	0.0	17
2	35	1.5	17
4	35	10.9	17
33	35	18.6	17
36	36	0.0	20
9	36	18.1	20
17	36	41.0	20
40	36	45.5	20
37	37	0.0	11
25	37	9.7	11
24	37	11.3	11
29	37	15.8	11
38	38	0.0	27
14	38	18.4	27
5	38	36.2	27
10	38	36.5	27
39	39	0.0	27
17	39	48.3	27
19	39	51.1	27
12	39	52.2	27
40	40	0.0	18
12	40	15.7	18
9	40	35.7	18
17	40	37.5	18
