
Code
Dimension   Fixed Cost    Capacity
40	1211	123
Facility	Client	Transportation Cost	Demand
1	1	0.0	25
34	1	3.8	25
12	1	24.3	25
7	1	25.0	25
2	2	0.0	33
5	2	24.8	33
23	2	39.2	33
9	2	41.5	33
3	3	0.0	19
39	3	29.9	19
10	3	33.6	19
16	3	38.6	19
4	4	0.0	13
31	4	14.5	13
13	4	22.8	13
35	4	23.4	13
5	5	0.0	19
23	5	12.1	19
2	5	14.3	19
21	5	31.1	19
6	6	0.0	8
20	6	3.1	8
16	6	4.8	8
39	6	10.8	8
7	7	0.0	8
12	7	7.7	8
1	7	8.0	8
34	7	9.2	8
8	8	0.0	22
23	8	36.1	22
21	8	41.3	22
5	8	50.0	22
9	9	0.0	28
2	9	35.2	28
5	9	56.3	28
23	9	66.5	28
10	10	0.0	34
39	10	15.0	34
16	10	37.1	34
6	10	56.6	34
11	11	0.0	26
27	11	21.2	26
38	11	53.2	26
21	11	55.3	26
12	12	0.0	26
24	12	21.0	26
7	12	24.9	26
1	12	25.2	26
13	13	0.0	17
35	13	8.9	17
18	13	13.9	17
33	13	23.1	17
14	14	0.0	18
28	14	25.5	18
15	14	38.9	18
36	14	41.3	18
15	15	0.0	12
37	15	8.7	12
36	15	14.0	12
29	15	23.9	12
16	16	0.0	31
6	16	18.8	31
39	16	23.0	31
20	16	30.1	31
17	17	0.0	20
40	17	16.3	20
19	17	24.0	20
30	17	26.1	20
18	18	0.0	19
35	18	13.8	19
13	18	15.5	19
33	18	25.7	19
19	19	0.0	12
30	19	1.3	12
40	19	5.5	12
26	19	8.2	12
20	20	0.0	35
6	20	13.7	35
16	20	34.0	35
38	20	51.8	35
21	21	0.0	24
38	21	32.8	24
23	21	34.3	24
5	21	39.3	24
22	22	0.0	15
32	22	3.9	15
25	22	9.8	15
7	22	33.8	15
23	23	0.0	18
5	23	11.4	18
2	23	21.4	18
21	23	25.7	18
24	24	0.0	23
12	24	18.6	23
26	24	29.0	23
34	24	29.3	23
25	25	0.0	6
32	25	2.5	6
22	25	3.9	6
13	25	11.5	6
26	26	0.0	16
19	26	10.9	16
30	26	11.1	16
40	26	15.3	16
27	27	0.0	23
11	27	18.7	23
38	27	28.6	23
21	27	38.1	23
28	28	0.0	19
14	28	26.9	19
36	28	28.4	19
15	28	40.4	19
29	29	0.0	32
37	29	41.1	32
36	29	60.7	32
15	29	63.7	32
30	30	0.0	30
19	30	3.1	30
40	30	16.7	30
26	30	20.9	30
31	31	0.0	10
4	31	11.2	10
17	31	18.6	10
40	31	19.1	10
32	32	0.0	29
22	32	7.6	29
25	32	12.3	29
30	32	67.5	29
33	33	0.0	29
35	33	24.7	29
18	33	39.2	29
13	33	39.3	29
34	34	0.0	13
1	34	2.0	13
12	34	13.6	13
7	34	15.0	13
35	35	0.0	23
13	35	12.0	23
18	35	16.7	23
33	35	19.6	23
36	36	0.0	7
37	36	7.0	7
15	36	8.2	7
28	36	10.5	7
37	37	0.0	31
15	37	22.4	31
36	37	31.2	31
29	37	39.8	31
38	38	0.0	16
27	38	19.9	16
21	38	21.8	16
20	38	23.7	16
39	39	0.0	17
10	39	7.5	17
16	39	12.6	17
6	39	22.9	17
40	40	0.0	16
19	40	7.4	16
30	40	8.9	16
17	40	13.0	16
