
Code
Dimension   Fixed Cost    Capacity
40	1193	118
Facility	Client	Transportation Cost	Demand
1	1	0.0	6
33	1	5.1	6
35	1	7.1	6
14	1	12.4	6
2	2	0.0	8
19	2	6.4	8
3	2	18.3	8
38	2	20.4	8
3	3	0.0	21
22	3	18.0	21
20	3	20.5	21
29	3	43.3	21
4	4	0.0	5
35	4	8.2	5
33	4	8.7	5
13	4	10.3	5
5	5	0.0	25
15	5	11.7	25
31	5	33.8	25
26	5	36.3	25
6	6	0.0	28
18	6	6.3	28
39	6	18.2	28
37	6	28.3	28
7	7	0.0	19
37	7	22.4	19
26	7	29.8	19
5	7	32.9	19
8	8	0.0	20
27	8	10.7	20
9	8	38.0	20
37	8	63.4	20
9	9	0.0	21
6	9	27.7	21
37	9	28.4	21
18	9	32.3	21
10	10	0.0	28
31	10	18.6	28
34	10	30.5	28
20	10	32.5	28
11	11	0.0	35
38	11	31.6	35
12	11	40.6	35
30	11	84.9	35
12	12	0.0	31
38	12	8.0	31
11	12	36.0	31
2	12	79.8	31
13	13	0.0	32
4	13	66.2	32
32	13	78.7	32
11	13	79.2	32
14	14	0.0	9
17	14	17.0	9
1	14	18.7	9
35	14	25.0	9
15	15	0.0	18
5	15	8.4	18
31	15	18.7	18
10	15	30.5	18
16	16	0.0	29
25	16	9.1	29
21	16	23.0	29
23	16	43.0	29
17	17	0.0	31
14	17	58.6	31
7	17	67.3	31
27	17	81.9	31
18	18	0.0	13
6	18	2.9	13
39	18	6.6	13
37	18	13.7	13
19	19	0.0	26
2	19	20.8	26
3	19	70.5	26
22	19	78.6	26
20	20	0.0	6
22	20	5.6	6
3	20	5.9	6
10	20	7.0	6
21	21	0.0	21
25	21	12.1	21
16	21	16.6	21
29	21	16.9	21
22	22	0.0	20
3	22	17.2	20
20	22	18.7	20
29	22	24.2	20
23	23	0.0	14
21	23	15.6	14
36	23	18.6	14
16	23	20.8	14
24	24	0.0	28
39	24	58.8	28
40	24	66.3	28
6	24	66.9	28
25	25	0.0	18
16	25	5.6	18
21	25	10.4	18
29	25	23.2	18
26	26	0.0	11
5	26	16.0	11
32	26	16.4	11
7	26	17.2	11
27	27	0.0	20
8	27	10.7	20
9	27	35.2	20
17	27	52.8	20
28	28	0.0	26
30	28	9.2	26
32	28	21.0	26
26	28	43.7	26
29	29	0.0	20
21	29	16.1	20
22	29	24.2	20
25	29	25.8	20
30	30	0.0	20
28	30	7.0	20
32	30	16.8	20
26	30	39.6	20
31	31	0.0	28
10	31	18.6	28
15	31	29.1	28
5	31	37.8	28
32	32	0.0	21
28	32	16.9	21
30	32	17.7	21
26	32	31.3	21
33	33	0.0	13
1	33	11.0	13
35	33	17.4	13
4	33	22.5	13
34	34	0.0	9
40	34	9.4	9
10	34	9.8	9
23	34	15.0	9
35	35	0.0	32
1	35	37.7	32
33	35	42.8	32
4	35	52.4	32
36	36	0.0	13
23	36	17.3	13
40	36	24.7	13
21	36	30.7	13
37	37	0.0	22
6	37	22.3	22
18	37	23.3	22
7	37	26.0	22
38	38	0.0	15
12	38	3.9	15
11	38	13.5	15
2	38	38.2	15
39	39	0.0	11
18	39	5.5	11
6	39	7.2	11
37	39	17.1	11
40	40	0.0	20
34	40	20.8	20
23	40	34.2	20
36	40	37.9	20
