
Code
Dimension   Fixed Cost    Capacity
40	1245	129
Facility	Client	Transportation Cost	Demand
1	1	0.0	20
35	1	26.1	20
14	1	28.1	20
37	1	28.3	20
2	2	0.0	14
24	2	14.1	14
17	2	18.3	14
6	2	19.8	14
3	3	0.0	19
8	3	35.1	19
10	3	36.0	19
23	3	38.3	19
4	4	0.0	32
11	4	38.2	32
36	4	51.1	32
28	4	53.8	32
5	5	0.0	11
40	5	15.9	11
24	5	22.5	11
21	5	26.6	11
6	6	0.0	7
38	6	4.6	7
25	6	5.4	7
16	6	6.1	7
7	7	0.0	22
12	7	24.2	22
31	7	35.8	22
19	7	47.1	22
8	8	0.0	26
27	8	43.7	26
3	8	48.0	26
9	8	51.4	26
9	9	0.0	34
32	9	38.2	34
14	9	48.1	34
27	9	51.8	34
10	10	0.0	26
29	10	14.2	26
28	10	29.1	26
30	10	38.9	26
11	11	0.0	28
19	11	27.9	28
4	11	33.5	28
12	11	38.6	28
12	12	0.0	31
31	12	20.9	31
19	12	32.3	31
7	12	34.2	31
13	13	0.0	21
31	13	39.8	21
7	13	45.4	21
12	13	45.8	21
14	14	0.0	33
32	14	36.8	33
1	14	46.4	33
9	14	46.7	33
15	15	0.0	28
37	15	16.5	28
33	15	42.4	28
39	15	47.9	28
16	16	0.0	5
25	16	1.3	5
6	16	4.4	5
39	16	5.3	5
17	17	0.0	22
6	17	24.8	22
2	17	28.8	22
25	17	29.9	22
18	18	0.0	20
33	18	10.0	20
39	18	12.6	20
16	18	31.8	20
19	19	0.0	32
30	19	21.0	32
31	19	23.6	32
11	19	31.9	32
20	20	0.0	35
26	20	23.8	35
36	20	37.8	35
22	20	44.0	35
21	21	0.0	29
5	21	70.2	29
40	21	108.6	29
24	21	125.3	29
22	22	0.0	7
20	22	8.8	7
26	22	10.8	7
36	22	16.2	7
23	23	0.0	15
34	23	10.8	15
2	23	29.7	15
27	23	29.9	15
24	24	0.0	22
40	24	13.2	22
2	24	22.2	22
17	24	32.1	22
25	25	0.0	22
16	25	5.8	22
6	25	17.1	22
38	25	26.8	22
26	26	0.0	31
20	26	21.1	31
28	26	37.4	31
36	26	41.4	31
27	27	0.0	10
9	27	15.2	10
1	27	15.7	10
8	27	16.8	10
28	28	0.0	20
29	28	11.5	20
10	28	22.4	20
26	28	24.1	20
29	29	0.0	8
10	29	4.4	8
28	29	4.6	8
26	29	10.9	8
30	30	0.0	19
19	30	12.5	19
31	30	15.7	19
12	30	27.2	19
31	31	0.0	28
12	31	18.9	28
19	31	20.6	28
30	31	23.2	28
32	32	0.0	21
14	32	23.4	21
9	32	23.6	21
1	32	51.3	21
33	33	0.0	33
39	33	8.2	33
18	33	16.5	33
16	33	43.1	33
34	34	0.0	30
23	34	21.7	30
2	34	44.5	30
24	34	51.5	30
35	35	0.0	5
38	35	4.6	5
1	35	6.5	5
6	35	7.6	5
36	36	0.0	16
20	36	17.3	16
26	36	21.4	16
28	36	22.7	16
37	37	0.0	24
15	37	14.2	24
1	37	33.9	24
33	37	40.2	24
38	38	0.0	9
6	38	6.0	9
35	38	8.2	9
16	38	10.5	9
39	39	0.0	21
33	39	5.2	21
18	39	13.3	21
16	39	22.2	21
40	40	0.0	27
24	40	16.2	27
5	40	39.0	27
2	40	42.8	27
