
Code
Dimension   Fixed Cost    Capacity
40	1162	113
Facility	Client	Transportation Cost	Demand
1	1	0.0	14
25	1	13.6	14
5	1	20.4	14
9	1	25.8	14
2	2	0.0	29
23	2	32.5	29
3	2	41.4	29
7	2	41.6	29
3	3	0.0	15
23	3	16.0	15
2	3	21.4	15
4	3	21.9	15
4	4	0.0	16
30	4	5.2	16
32	4	7.8	16
23	4	11.1	16
5	5	0.0	25
25	5	23.1	25
1	5	36.4	25
20	5	47.5	25
6	6	0.0	13
31	6	10.0	13
7	6	13.1	13
32	6	19.8	13
7	7	0.0	17
6	7	17.1	17
23	7	18.3	17
4	7	21.2	17
8	8	0.0	18
11	8	23.3	18
3	8	49.3	18
4	8	64.8	18
9	9	0.0	24
18	9	12.7	24
38	9	42.3	24
35	9	42.9	24
10	10	0.0	31
22	10	54.2	31
17	10	64.6	31
28	10	65.9	31
11	11	0.0	32
8	11	41.3	32
3	11	60.4	32
33	11	80.9	32
12	12	0.0	8
13	12	3.3	8
15	12	4.3	8
34	12	7.3	8
13	13	0.0	11
15	13	2.2	11
12	13	4.6	11
34	13	6.6	11
14	14	0.0	31
20	14	21.8	31
19	14	40.9	31
25	14	52.2	31
15	15	0.0	30
13	15	5.9	30
12	15	16.0	30
34	15	21.2	30
16	16	0.0	35
29	16	7.4	35
24	16	21.1	35
21	16	32.7	35
17	17	0.0	25
28	17	7.2	25
22	17	32.9	25
14	17	46.4	25
18	18	0.0	18
9	18	9.5	18
38	18	22.2	18
35	18	28.4	18
19	19	0.0	5
14	19	6.6	5
20	19	9.0	5
17	19	9.8	5
20	20	0.0	13
14	20	9.1	13
25	20	16.7	13
19	20	23.4	13
21	21	0.0	16
24	21	10.2	16
16	21	14.9	16
39	21	17.2	16
22	22	0.0	28
28	22	30.9	28
17	22	36.8	28
10	22	48.9	28
23	23	0.0	31
4	23	21.5	31
30	23	31.5	31
3	23	33.1	31
24	24	0.0	8
16	24	4.8	8
21	24	5.1	8
29	24	6.5	8
25	25	0.0	17
5	25	15.7	17
1	25	16.5	17
20	25	21.8	17
26	26	0.0	9
12	26	14.3	9
35	26	17.4	9
13	26	18.0	9
27	27	0.0	9
36	27	5.6	9
38	27	10.2	9
18	27	18.6	9
28	28	0.0	14
17	28	4.0	14
22	28	15.4	14
14	28	27.2	14
29	29	0.0	17
16	29	3.6	17
24	29	13.8	17
21	29	18.8	17
30	30	0.0	25
32	30	5.0	25
4	30	8.1	25
23	30	25.4	25
31	31	0.0	17
6	31	13.1	17
7	31	30.0	17
32	31	35.6	17
32	32	0.0	22
30	32	4.4	22
4	32	10.7	22
23	32	25.7	22
33	33	0.0	8
11	33	20.2	8
10	33	26.1	8
3	33	26.1	8
34	34	0.0	7
13	34	4.2	7
15	34	5.0	7
12	34	6.4	7
35	35	0.0	18
12	35	20.3	18
15	35	21.2	18
13	35	22.9	18
36	36	0.0	30
27	36	18.6	30
38	36	48.4	30
18	36	68.5	30
37	37	0.0	6
29	37	13.5	6
16	37	14.1	6
24	37	16.0	6
38	38	0.0	28
27	38	31.6	28
18	38	34.5	28
36	38	45.2	28
39	39	0.0	27
24	39	26.8	27
21	39	29.0	27
16	39	43.1	27
40	40	0.0	7
32	40	12.9	7
30	40	13.9	7
4	40	16.2	7
