
Code
Dimension   Fixed Cost    Capacity
40	1160	113
Facility	Client	Transportation Cost	Demand
1	1	0.0	26
36	1	41.9	26
18	1	46.2	26
20	1	48.6	26
2	2	0.0	22
35	2	32.2	22
38	2	35.8	22
31	2	46.7	22
3	3	0.0	14
21	3	15.6	14
39	3	20.1	14
11	3	20.6	14
4	4	0.0	13
11	4	21.4	13
31	4	22.6	13
12	4	23.6	13
5	5	0.0	15
9	5	8.0	15
19	5	11.9	15
18	5	12.9	15
6	6	0.0	5
29	6	0.8	5
14	6	0.9	5
32	6	9.2	5
7	7	0.0	28
40	7	43.2	28
20	7	44.9	28
1	7	61.4	28
8	8	0.0	16
22	8	10.3	16
24	8	15.3	16
37	8	20.5	16
9	9	0.0	23
5	9	12.3	23
15	9	15.8	23
18	9	19.5	23
10	10	0.0	33
31	10	23.6	33
12	10	36.6	33
38	10	57.1	33
11	11	0.0	24
21	11	27.9	24
3	11	35.2	24
4	11	39.6	24
12	12	0.0	24
10	12	26.6	24
31	12	41.1	24
4	12	43.5	24
13	13	0.0	9
25	13	11.7	9
34	13	13.8	9
24	13	18.3	9
14	14	0.0	22
29	14	3.6	22
6	14	4.1	22
32	14	37.0	22
15	15	0.0	34
17	15	14.9	34
9	15	23.3	34
30	15	34.5	34
16	16	0.0	5
27	16	4.4	5
33	16	4.5	5
23	16	10.0	5
17	17	0.0	8
15	17	3.5	8
30	17	6.1	8
9	17	8.5	8
18	18	0.0	33
36	18	14.5	33
9	18	28.0	33
5	18	28.3	33
19	19	0.0	26
5	19	20.5	26
9	19	23.7	26
20	19	31.0	26
20	20	0.0	15
40	20	10.1	15
5	20	15.9	15
19	20	17.9	15
21	21	0.0	19
3	21	21.2	19
11	21	22.1	19
40	21	44.3	19
22	22	0.0	30
24	22	9.6	30
8	22	19.3	30
37	22	41.3	30
23	23	0.0	11
19	23	15.3	11
40	23	20.2	11
16	23	21.9	11
24	24	0.0	8
22	24	2.6	8
8	24	7.6	8
37	24	11.6	8
25	25	0.0	5
34	25	1.8	5
13	25	6.5	5
24	25	16.5	5
26	26	0.0	6
8	26	8.7	6
37	26	10.5	6
35	26	11.4	6
27	27	0.0	23
33	27	0.6	23
16	27	20.1	23
39	27	39.9	23
28	28	0.0	6
1	28	15.7	6
7	28	16.0	6
20	28	22.5	6
29	29	0.0	11
14	29	1.8	11
6	29	1.8	11
32	29	20.2	11
30	30	0.0	29
17	30	22.2	29
15	30	29.4	29
32	30	45.6	29
31	31	0.0	25
10	31	17.9	25
38	31	27.0	25
12	31	42.8	25
32	32	0.0	31
30	32	48.7	31
14	32	52.2	31
29	32	56.8	31
33	33	0.0	24
27	33	0.6	24
16	33	21.5	24
39	33	41.2	24
34	34	0.0	19
25	34	6.9	19
13	34	29.1	19
16	34	67.1	19
35	35	0.0	33
2	35	48.3	33
26	35	62.9	33
37	35	69.1	33
36	36	0.0	20
18	36	8.8	20
5	36	25.4	20
9	36	25.6	20
37	37	0.0	5
8	37	6.4	5
22	37	6.9	5
24	37	7.3	5
38	38	0.0	16
31	38	17.3	16
2	38	26.0	16
11	38	26.9	16
39	39	0.0	18
3	39	25.9	18
33	39	30.9	18
27	39	31.2	18
40	40	0.0	21
20	40	14.1	21
19	40	27.8	21
7	40	32.4	21
