
Code
Dimension   Fixed Cost    Capacity
40	1178	116
Facility	Client	Transportation Cost	Demand
1	1	0.0	12
27	1	10.5	12
2	1	25.8	12
38	1	29.2	12
2	2	0.0	21
27	2	27.5	21
1	2	45.1	21
32	2	59.7	21
3	3	0.0	19
40	3	17.1	19
18	3	32.3	19
20	3	34.2	19
4	4	0.0	33
11	4	28.9	33
21	4	33.1	33
37	4	48.3	33
5	5	0.0	28
20	5	9.6	28
18	5	27.0	28
40	5	33.5	28
6	6	0.0	5
17	6	2.7	5
15	6	3.7	5
19	6	8.2	5
7	7	0.0	14
30	7	6.8	14
19	7	10.4	14
34	7	14.5	14
8	8	0.0	10
24	8	11.5	10
3	8	24.1	10
20	8	24.6	10
9	9	0.0	26
23	9	34.3	26
33	9	48.5	26
22	9	59.7	26
10	10	0.0	23
13	10	5.1	23
12	10	11.3	23
37	10	27.5	23
11	11	0.0	13
4	11	11.4	13
21	11	11.4	13
16	11	21.4	13
12	12	0.0	16
13	12	5.3	16
10	12	7.9	16
37	12	24.0	16
13	13	0.0	31
10	13	6.9	31
12	13	10.3	31
37	13	43.4	31
14	14	0.0	29
37	14	9.7	29
10	14	43.8	29
4	14	45.2	29
15	15	0.0	12
6	15	9.0	12
17	15	12.0	12
22	15	15.9	12
16	16	0.0	19
21	16	14.7	19
34	16	27.0	19
31	16	28.6	19
17	17	0.0	11
6	17	5.9	11
15	17	11.0	11
25	17	18.5	11
18	18	0.0	7
40	18	5.9	7
5	18	6.7	7
20	18	7.4	7
19	19	0.0	6
7	19	4.5	6
30	19	6.9	6
25	19	7.5	6
20	20	0.0	30
5	20	10.3	30
40	20	30.5	30
18	20	31.6	30
21	21	0.0	12
16	21	9.3	12
11	21	10.5	12
4	21	12.0	12
22	22	0.0	32
23	22	33.2	32
38	22	41.3	32
15	22	42.4	32
23	23	0.0	10
22	23	10.4	10
38	23	12.9	10
9	23	13.2	10
24	24	0.0	35
8	24	40.1	35
35	24	54.3	35
29	24	54.6	35
25	25	0.0	23
39	25	24.5	23
30	25	25.1	23
7	25	28.1	23
26	26	0.0	24
16	26	43.0	24
4	26	46.8	24
21	26	49.2	24
27	27	0.0	7
1	27	6.1	7
2	27	9.2	7
38	27	20.4	7
28	28	0.0	28
32	28	31.3	28
39	28	48.0	28
25	28	73.5	28
29	29	0.0	35
35	29	10.0	35
33	29	18.5	35
24	29	54.6	35
30	30	0.0	26
7	30	12.7	26
25	30	28.4	26
19	30	30.0	26
31	31	0.0	11
34	31	3.5	11
7	31	14.8	11
16	31	16.6	11
32	32	0.0	21
28	32	23.5	21
39	32	43.2	21
25	32	54.3	21
33	33	0.0	26
29	33	13.7	26
35	33	20.1	26
23	33	45.7	26
34	34	0.0	17
31	34	5.4	17
7	34	17.7	17
30	34	22.0	17
35	35	0.0	8
29	35	2.3	8
33	35	6.2	8
24	35	12.4	8
36	36	0.0	6
26	36	13.7	6
3	36	13.9	6
31	36	14.3	6
37	37	0.0	23
14	37	7.7	23
10	37	27.5	23
13	37	32.2	23
38	38	0.0	31
23	38	39.9	31
22	38	40.0	31
15	38	48.6	31
39	39	0.0	23
25	39	24.5	23
30	39	37.4	23
28	39	39.4	23
40	40	0.0	16
18	40	13.6	16
3	40	14.4	16
20	40	16.3	16
