
Code
Dimension   Fixed Cost    Capacity
40	1176	117
Facility	Client	Transportation Cost	Demand
1	1	0.0	9
34	1	4.9	9
8	1	5.9	9
36	1	9.2	9
2	2	0.0	25
4	2	22.9	25
14	2	38.1	25
30	2	45.0	25
3	3	0.0	26
16	3	28.3	26
32	3	47.9	26
5	3	48.9	26
4	4	0.0	5
14	4	3.0	5
2	4	4.6	5
13	4	7.5	5
5	5	0.0	12
32	5	4.7	12
16	5	18.6	12
3	5	22.6	12
6	6	0.0	8
9	6	5.6	8
40	6	12.5	8
7	6	14.2	8
7	7	0.0	31
1	7	33.2	31
36	7	39.8	31
8	7	41.5	31
8	8	0.0	18
36	8	8.9	18
1	8	11.9	18
33	8	17.3	18
9	9	0.0	28
6	9	19.6	28
7	9	56.7	28
40	9	59.9	28
10	10	0.0	19
31	10	18.7	19
28	10	25.7	19
30	10	30.0	19
11	11	0.0	34
30	11	40.7	34
25	11	46.6	34
29	11	50.1	34
12	12	0.0	35
23	12	29.8	35
37	12	41.2	35
17	12	57.5	35
13	13	0.0	10
40	13	6.7	10
14	13	14.3	10
4	13	15.0	10
14	14	0.0	12
4	14	7.3	12
13	14	17.1	12
2	14	18.3	12
15	15	0.0	7
26	15	4.5	7
25	15	6.5	7
39	15	11.4	7
16	16	0.0	30
3	16	32.6	30
32	16	38.8	30
5	16	46.5	30
17	17	0.0	27
22	17	35.0	27
34	17	43.4	27
27	17	43.6	27
18	18	0.0	16
39	18	17.7	16
15	18	36.6	16
26	18	36.7	16
19	19	0.0	8
28	19	18.7	8
31	19	19.2	8
10	19	26.9	8
20	20	0.0	19
22	20	26.8	19
24	20	30.3	19
40	20	33.4	19
21	21	0.0	35
35	21	18.1	35
37	21	27.8	35
23	21	49.2	35
22	22	0.0	14
17	22	18.1	14
20	22	19.8	14
40	22	23.2	14
23	23	0.0	19
37	23	14.2	19
12	23	16.2	19
21	23	26.7	19
24	24	0.0	16
20	24	25.5	16
38	24	28.0	16
40	24	46.7	16
25	25	0.0	15
15	25	14.0	15
26	25	19.2	15
11	25	20.5	15
26	26	0.0	12
15	26	7.7	12
25	26	15.4	12
38	26	15.4	12
27	27	0.0	16
34	27	9.2	16
1	27	17.7	16
17	27	25.9	16
28	28	0.0	34
31	28	19.5	34
10	28	46.0	34
19	28	79.7	34
29	29	0.0	22
11	29	32.4	22
30	29	45.7	22
25	29	50.7	22
30	30	0.0	6
11	30	7.2	6
10	30	9.5	6
2	30	10.8	6
31	31	0.0	5
28	31	2.9	5
10	31	4.9	5
30	31	10.6	5
32	32	0.0	34
5	32	13.4	34
16	32	44.0	34
3	32	62.6	34
33	33	0.0	6
36	33	2.9	6
8	33	5.8	6
1	33	9.0	6
34	34	0.0	35
1	34	19.0	35
27	34	20.2	35
8	34	39.9	35
35	35	0.0	35
21	35	18.1	35
37	35	25.2	35
23	35	51.2	35
36	36	0.0	16
33	36	7.8	16
8	36	7.9	16
1	36	16.4	16
37	37	0.0	22
35	37	15.8	22
23	37	16.5	22
21	37	17.5	22
38	38	0.0	8
26	38	10.3	8
24	38	14.0	8
15	38	15.4	8
39	39	0.0	32
18	39	35.4	32
15	39	52.0	32
26	39	61.8	32
40	40	0.0	22
13	40	14.6	22
6	40	34.2	22
22	40	36.5	22
