
Code
Dimension   Fixed Cost    Capacity
40	1223	126
Facility	Client	Transportation Cost	Demand
1	1	0.0	33
8	1	49.1	33
31	1	51.4	33
18	1	64.1	33
2	2	0.0	25
14	2	31.0	25
33	2	45.9	25
21	2	54.0	25
3	3	0.0	32
5	3	43.3	32
33	3	49.5	32
16	3	56.8	32
4	4	0.0	13
9	4	4.0	13
36	4	6.1	13
32	4	9.9	13
5	5	0.0	25
33	5	30.8	25
3	5	33.8	25
19	5	47.0	25
6	6	0.0	23
40	6	8.0	23
18	6	16.2	23
26	6	25.7	23
7	7	0.0	12
19	7	3.8	12
30	7	8.7	12
38	7	24.1	12
8	8	0.0	18
31	8	10.1	18
1	8	26.8	18
18	8	33.7	18
9	9	0.0	35
4	9	10.7	35
36	9	16.5	35
32	9	27.8	35
10	10	0.0	7
25	10	5.4	7
11	10	7.4	7
38	10	8.4	7
11	11	0.0	35
10	11	37.1	35
38	11	40.5	35
25	11	41.9	35
12	12	0.0	28
34	12	26.7	28
24	12	32.1	28
28	12	32.6	28
13	13	0.0	20
27	13	10.4	20
17	13	11.0	20
23	13	23.0	20
14	14	0.0	30
2	14	37.2	30
16	14	37.8	30
21	14	63.8	30
15	15	0.0	11
21	15	14.9	11
27	15	26.2	11
14	15	29.1	11
16	16	0.0	29
14	16	36.5	29
3	16	51.5	29
2	16	62.7	29
17	17	0.0	11
13	17	6.0	11
23	17	10.2	11
27	17	11.2	11
18	18	0.0	24
6	18	16.9	24
40	18	25.1	24
31	18	32.3	24
19	19	0.0	11
7	19	3.5	11
30	19	10.3	11
5	19	20.7	11
20	20	0.0	26
23	20	27.0	26
17	20	50.8	26
13	20	53.3	26
21	21	0.0	15
27	21	17.0	15
15	21	20.4	15
13	21	23.8	15
22	22	0.0	33
25	22	29.3	33
37	22	31.7	33
29	22	41.2	33
23	23	0.0	32
17	23	29.7	32
20	23	33.2	32
13	23	36.7	32
24	24	0.0	15
28	24	3.9	15
34	24	4.1	15
12	24	17.2	15
25	25	0.0	34
10	25	26.1	34
37	25	28.5	34
22	25	30.2	34
26	26	0.0	25
6	26	28.0	25
40	26	29.9	25
18	26	35.9	25
27	27	0.0	20
13	27	10.4	20
17	27	20.4	20
21	27	22.7	20
28	28	0.0	15
24	28	3.9	15
34	28	7.1	15
12	28	17.4	15
29	29	0.0	7
22	29	8.7	7
12	29	9.1	7
25	29	14.5	7
30	30	0.0	20
7	30	14.4	20
19	30	18.7	20
5	30	45.4	20
31	31	0.0	14
8	31	7.9	14
18	31	18.8	14
1	31	21.8	14
32	32	0.0	27
4	32	20.5	27
9	32	21.4	27
36	32	32.5	27
33	33	0.0	16
5	33	19.7	16
3	33	24.7	16
2	33	29.4	16
34	34	0.0	18
24	34	4.9	18
28	34	8.5	18
12	34	17.2	18
35	35	0.0	8
11	35	13.0	8
38	35	14.7	8
39	35	18.2	8
36	36	0.0	13
4	36	6.1	13
9	36	6.1	13
39	36	8.8	13
37	37	0.0	13
25	37	10.9	13
22	37	12.5	13
10	37	15.9	13
38	38	0.0	14
11	38	16.2	14
10	38	16.7	14
35	38	25.7	14
39	39	0.0	25
36	39	16.9	25
9	39	26.6	25
4	39	28.6	25
40	40	0.0	31
6	40	10.8	31
18	40	32.4	31
26	40	37.1	31
