
Code
Dimension   Fixed Cost    Capacity
40	1189	120
Facility	Client	Transportation Cost	Demand
1	1	0.0	12
2	1	21.6	12
24	1	22.1	12
32	1	25.2	12
2	2	0.0	14
39	2	15.4	14
29	2	20.4	14
1	2	25.3	14
3	3	0.0	8
18	3	5.6	8
19	3	6.5	8
23	3	9.5	8
4	4	0.0	19
33	4	27.0	19
37	4	35.8	19
28	4	38.7	19
5	5	0.0	14
7	5	1.8	14
21	5	17.9	14
8	5	23.1	14
6	6	0.0	6
14	6	2.9	6
31	6	5.5	6
35	6	6.4	6
7	7	0.0	29
5	7	3.8	29
21	7	39.9	29
8	7	50.4	29
8	8	0.0	34
39	8	38.0	34
11	8	39.0	34
36	8	42.3	34
9	9	0.0	27
15	9	16.7	27
16	9	19.6	27
30	9	39.3	27
10	10	0.0	10
26	10	12.6	10
17	10	13.7	10
37	10	14.3	10
11	11	0.0	20
32	11	14.4	20
20	11	19.7	20
36	11	20.5	20
12	12	0.0	6
34	12	5.1	6
24	12	9.7	6
2	12	11.9	6
13	13	0.0	30
6	13	34.9	30
35	13	42.3	30
27	13	48.2	30
14	14	0.0	27
6	14	13.2	27
31	14	15.4	27
35	14	38.5	27
15	15	0.0	31
16	15	16.0	31
9	15	19.1	31
30	15	41.2	31
16	16	0.0	34
15	16	17.6	34
9	16	24.7	34
30	16	62.5	34
17	17	0.0	20
37	17	6.9	20
33	17	22.9	20
28	17	25.1	20
18	18	0.0	26
19	18	16.2	26
3	18	18.1	26
23	18	33.4	26
19	19	0.0	16
18	19	10.0	16
23	19	10.8	16
3	19	13.0	16
20	20	0.0	31
36	20	4.9	31
11	20	30.5	31
8	20	41.9	31
21	21	0.0	11
5	21	14.1	11
36	21	15.1	11
7	21	15.2	11
22	22	0.0	25
38	22	32.3	25
29	22	47.3	25
7	22	49.9	25
23	23	0.0	26
19	23	17.6	26
3	23	30.8	26
18	23	33.4	26
24	24	0.0	6
34	24	6.4	6
12	24	9.7	6
1	24	11.0	6
25	25	0.0	29
27	25	26.7	29
13	25	55.0	29
35	25	61.5	29
26	26	0.0	24
10	26	30.2	24
38	26	50.5	24
22	26	59.6	24
27	27	0.0	13
25	27	12.0	13
35	27	16.5	13
13	27	20.9	13
28	28	0.0	18
17	28	22.6	18
37	28	26.9	18
33	28	36.1	18
29	29	0.0	35
39	29	30.4	35
2	29	50.9	35
8	29	60.0	35
30	30	0.0	32
15	30	42.5	32
9	30	46.5	32
16	30	58.8	32
31	31	0.0	16
14	31	9.1	16
6	31	14.7	16
13	31	29.2	16
32	32	0.0	20
11	32	14.4	20
8	32	31.9	20
20	32	33.9	20
33	33	0.0	13
37	33	10.6	13
17	33	14.9	13
4	33	18.5	13
34	34	0.0	31
12	34	26.3	31
24	34	33.2	31
25	34	72.6	31
35	35	0.0	31
6	35	33.2	31
27	35	39.4	31
13	35	43.7	31
36	36	0.0	13
20	36	2.1	13
11	36	13.3	13
8	36	16.2	13
37	37	0.0	29
17	37	9.9	29
33	37	23.7	29
10	37	41.4	29
38	38	0.0	8
22	38	10.3	8
10	38	11.5	8
17	38	16.0	8
39	39	0.0	5
29	39	4.3	5
2	39	5.5	5
8	39	5.6	5
40	40	0.0	6
21	40	13.7	6
7	40	16.7	6
5	40	16.8	6
