
Code
Dimension   Fixed Cost    Capacity
40	1196	120
Facility	Client	Transportation Cost	Demand
1	1	0.0	33
13	1	46.7	33
6	1	56.3	33
28	1	59.7	33
2	2	0.0	15
29	2	3.0	15
30	2	10.7	15
26	2	19.1	15
3	3	0.0	26
17	3	8.0	26
34	3	31.3	26
7	3	32.2	26
4	4	0.0	29
40	4	54.8	29
33	4	72.8	29
12	4	75.8	29
5	5	0.0	26
32	5	20.7	26
39	5	28.6	26
37	5	54.6	26
6	6	0.0	17
28	6	4.1	17
33	6	11.5	17
13	6	15.1	17
7	7	0.0	32
34	7	19.9	32
17	7	30.1	32
3	7	39.6	32
8	8	0.0	27
20	8	10.3	27
30	8	33.2	27
26	8	40.7	27
9	9	0.0	9
24	9	3.9	9
25	9	5.0	9
15	9	9.3	9
10	10	0.0	13
26	10	21.4	13
33	10	26.8	13
28	10	26.8	13
11	11	0.0	23
38	11	17.6	23
6	11	36.9	23
13	11	36.9	23
12	12	0.0	5
40	12	6.0	5
21	12	6.3	5
22	12	6.5	5
13	13	0.0	30
6	13	26.7	30
28	13	33.8	30
38	13	36.1	30
14	14	0.0	18
19	14	32.9	18
16	14	34.9	18
37	14	44.4	18
15	15	0.0	24
24	15	15.2	24
25	15	15.9	24
9	15	24.8	24
16	16	0.0	10
37	16	5.7	10
19	16	15.1	10
14	16	19.4	10
17	17	0.0	35
3	17	10.8	35
7	17	32.9	35
34	17	34.9	35
18	18	0.0	32
40	18	37.3	32
21	18	49.5	32
12	18	51.2	32
19	19	0.0	18
7	19	22.6	18
16	19	27.2	18
34	19	30.8	18
20	20	0.0	21
8	20	8.0	21
30	20	25.8	21
26	20	26.5	21
21	21	0.0	15
22	21	9.4	15
12	21	19.0	15
25	21	19.8	15
22	22	0.0	7
21	22	4.4	7
25	22	6.3	7
24	22	7.5	7
23	23	0.0	25
35	23	40.6	25
27	23	63.6	25
19	23	67.4	25
24	24	0.0	14
25	24	2.6	14
9	24	6.1	14
15	24	8.9	14
25	25	0.0	14
24	25	2.6	14
9	25	7.7	14
15	25	9.2	14
26	26	0.0	28
30	26	25.3	28
20	26	35.3	28
2	26	35.7	28
27	27	0.0	32
35	27	30.0	32
31	27	49.5	32
36	27	59.0	32
28	28	0.0	26
6	28	6.3	26
33	28	12.0	26
13	28	29.3	26
29	29	0.0	19
2	29	3.8	19
30	29	16.1	19
26	29	28.0	19
30	30	0.0	34
2	30	24.1	34
29	30	28.8	34
26	30	30.7	34
31	31	0.0	7
36	31	3.2	7
27	31	10.8	7
35	31	15.9	7
32	32	0.0	10
5	32	7.9	10
15	32	15.4	10
39	32	16.8	10
33	33	0.0	32
28	33	14.7	32
6	33	21.7	32
13	33	48.2	32
34	34	0.0	15
7	34	9.3	15
17	34	15.0	15
3	34	18.1	15
35	35	0.0	8
27	35	7.5	8
23	35	13.0	8
31	35	18.2	8
36	36	0.0	14
31	36	6.3	14
27	36	25.8	14
35	36	37.0	14
37	37	0.0	23
16	37	13.2	23
32	37	41.2	23
19	37	45.9	23
38	38	0.0	7
11	38	5.3	7
13	38	8.4	7
6	38	11.4	7
39	39	0.0	9
5	39	9.9	9
32	39	15.1	9
15	39	21.7	9
40	40	0.0	22
18	40	25.6	22
12	40	26.2	22
4	40	41.6	22
