
Code
Dimension   Fixed Cost    Capacity
35	1204	123
Facility	Client	Transportation Cost	Demand
1	1	0.0	7
15	1	10.8	7
29	1	11.1	7
2	2	0.0	19
12	2	14.1	19
24	2	16.6	19
3	3	0.0	35
10	3	28.2	35
4	3	61.9	35
4	4	0.0	28
31	4	31.2	28
10	4	48.1	28
5	5	0.0	21
20	5	17.8	21
29	5	24.7	21
6	6	0.0	27
16	6	18.7	27
22	6	48.8	27
7	7	0.0	10
13	7	11.9	10
8	7	13.7	10
8	8	0.0	10
13	8	2.4	10
7	8	13.7	10
9	9	0.0	14
27	9	4.0	14
30	9	20.3	14
10	10	0.0	22
3	10	17.7	22
4	10	37.8	22
11	11	0.0	7
17	11	6.9	7
18	11	14.0	7
12	12	0.0	20
24	12	10.5	20
2	12	14.8	20
13	13	0.0	33
8	13	7.8	33
7	13	39.4	33
14	14	0.0	7
34	14	8.0	7
23	14	9.2	7
15	15	0.0	22
20	15	18.6	22
5	15	30.5	22
16	16	0.0	35
6	16	24.2	35
22	16	40.7	35
17	17	0.0	21
11	17	20.7	21
18	17	32.6	21
18	18	0.0	32
17	18	49.7	32
9	18	51.0	32
19	19	0.0	18
32	19	12.8	18
7	19	35.5	18
20	20	0.0	21
29	20	14.1	21
15	20	17.7	21
21	21	0.0	12
22	21	11.1	12
16	21	21.1	12
22	22	0.0	33
21	22	30.5	33
16	22	38.4	33
23	23	0.0	14
14	23	18.4	14
34	23	20.0	14
24	24	0.0	16
12	24	8.4	16
2	24	13.9	16
25	25	0.0	31
32	25	54.5	31
7	25	59.4	31
26	26	0.0	10
31	26	12.1	10
4	26	20.6	10
27	27	0.0	12
9	27	3.4	12
30	27	18.7	12
28	28	0.0	25
23	28	37.3	25
17	28	40.9	25
29	29	0.0	13
20	29	8.8	13
5	29	15.3	13
30	30	0.0	22
9	30	31.9	22
27	30	34.3	22
31	31	0.0	32
4	31	35.7	32
26	31	38.7	32
32	32	0.0	11
19	32	7.8	11
7	32	19.1	11
33	33	0.0	24
35	33	1.9	24
12	33	22.9	24
34	34	0.0	34
14	34	38.7	34
23	34	48.7	34
35	35	0.0	20
33	35	1.6	20
12	35	18.5	20
