
Code
Dimension   Fixed Cost    Capacity
35	1194	120
Facility	Client	Transportation Cost	Demand
1	1	0.0	22
26	1	21.0	22
27	1	22.6	22
2	2	0.0	31
7	2	22.7	31
29	2	104.7	31
3	3	0.0	5
19	3	3.1	5
35	3	4.5	5
4	4	0.0	31
17	4	17.9	31
25	4	38.0	31
5	5	0.0	11
16	5	3.7	11
10	5	9.1	11
6	6	0.0	12
33	6	8.6	12
22	6	18.3	12
7	7	0.0	19
2	7	13.9	19
29	7	70.6	19
8	8	0.0	29
30	8	20.7	29
9	8	26.8	29
9	9	0.0	6
35	9	2.3	6
8	9	5.5	6
10	10	0.0	6
16	10	3.8	6
5	10	4.9	6
11	11	0.0	24
14	11	20.3	24
12	11	26.2	24
12	12	0.0	30
32	12	31.8	30
11	12	32.7	30
13	13	0.0	32
19	13	37.3	32
3	13	39.0	32
14	14	0.0	32
11	14	27.1	32
12	14	45.5	32
15	15	0.0	8
28	15	10.8	8
13	15	17.4	8
16	16	0.0	20
5	16	6.7	20
10	16	12.6	20
17	17	0.0	18
4	17	10.4	18
25	17	26.7	18
18	18	0.0	35
30	18	26.3	35
8	18	47.5	35
19	19	0.0	33
3	19	20.4	33
13	19	38.5	33
20	20	0.0	10
16	20	8.2	10
10	20	8.8	10
21	21	0.0	26
24	21	17.2	26
33	21	41.1	26
22	22	0.0	23
5	22	20.0	23
16	22	24.1	23
23	23	0.0	30
31	23	37.0	30
10	23	62.0	30
24	24	0.0	26
21	24	17.2	26
33	24	24.2	26
25	25	0.0	19
4	25	23.3	19
17	25	28.2	19
26	26	0.0	10
27	26	7.8	10
1	26	9.6	10
27	27	0.0	14
26	27	10.9	14
1	27	14.4	14
28	28	0.0	26
32	28	22.4	26
15	28	35.2	26
29	29	0.0	8
27	29	17.9	8
26	29	22.8	8
30	30	0.0	26
8	30	18.6	26
18	30	19.5	26
31	31	0.0	23
23	31	28.3	23
10	31	31.3	23
32	32	0.0	17
28	32	14.7	17
12	32	18.0	17
33	33	0.0	8
6	33	5.7	8
24	33	7.4	8
34	34	0.0	6
19	34	7.2	6
12	34	8.0	6
35	35	0.0	29
9	35	10.9	29
3	35	26.3	29
