
Code
Dimension   Fixed Cost    Capacity
100	1231	127
Facility	Client	Transportation Cost	Demand
1	1	0.0	31
56	1	12.2	31
30	1	13.0	31
97	1	28.3	31
40	1	42.3	31
92	1	47.2	31
17	1	53.4	31
98	1	60.9	31
82	1	62.0	31
70	1	66.7	31
2	2	0.0	5
45	2	1.5	5
36	2	2.0	5
58	2	2.2	5
25	2	2.5	5
7	2	2.8	5
61	2	4.3	5
13	2	5.1	5
35	2	8.5	5
83	2	9.6	5
3	3	0.0	12
79	3	6.8	12
68	3	9.4	12
100	3	11.3	12
20	3	11.3	12
26	3	14.0	12
14	3	15.1	12
88	3	17.7	12
49	3	18.0	12
95	3	19.8	12
4	4	0.0	24
48	4	15.8	24
71	4	23.0	24
49	4	23.7	24
57	4	24.0	24
64	4	25.6	24
16	4	31.6	24
76	4	37.6	24
38	4	38.0	24
91	4	39.9	24
5	5	0.0	34
28	5	26.9	34
19	5	27.2	34
47	5	29.1	34
18	5	38.3	34
8	5	39.4	34
6	5	44.8	34
81	5	46.9	34
74	5	48.1	34
99	5	63.8	34
6	6	0.0	9
47	6	5.4	9
42	6	6.1	9
78	6	7.1	9
91	6	9.3	9
5	6	11.9	9
16	6	12.5	9
65	6	13.3	9
76	6	13.9	9
8	6	15.4	9
7	7	0.0	5
36	7	0.8	5
45	7	1.3	5
2	7	2.8	5
58	7	3.1	5
13	7	5.2	5
25	7	5.3	5
61	7	6.8	5
35	7	9.9	5
51	7	10.5	5
8	8	0.0	14
80	8	10.7	14
5	8	16.2	14
74	8	16.3	14
19	8	17.6	14
28	8	18.2	14
50	8	20.1	14
18	8	20.6	14
47	8	22.9	14
6	8	24.0	14
9	9	0.0	30
38	9	6.4	30
31	9	18.0	30
76	9	18.2	30
65	9	18.7	30
91	9	42.2	30
16	9	44.1	30
57	9	44.5	30
78	9	44.7	30
42	9	45.0	30
10	10	0.0	19
21	10	19.8	19
44	10	20.2	19
12	10	29.3	19
11	10	33.8	19
29	10	36.4	19
89	10	38.2	19
33	10	39.7	19
64	10	42.1	19
48	10	52.8	19
11	11	0.0	35
89	11	16.9	35
44	11	25.2	35
60	11	59.7	35
10	11	62.3	35
15	11	69.9	35
3	11	76.8	35
68	11	79.7	35
64	11	81.2	35
79	11	81.2	35
12	12	0.0	16
21	12	8.2	16
33	12	10.3	16
29	12	22.8	16
10	12	24.7	16
72	12	27.7	16
64	12	29.8	16
71	12	31.7	16
4	12	34.1	16
32	12	35.2	16
13	13	0.0	18
58	13	10.8	18
36	13	17.6	18
45	13	17.7	18
2	13	18.5	18
7	13	18.7	18
35	13	19.5	18
61	13	19.6	18
25	13	23.0	18
22	13	27.6	18
14	14	0.0	25
67	14	15.6	25
20	14	16.0	25
51	14	19.5	25
75	14	22.4	25
100	14	23.0	25
79	14	27.8	25
88	14	29.9	25
68	14	31.5	25
3	14	31.5	25
15	15	0.0	28
60	15	32.0	28
89	15	48.6	28
11	15	55.9	28
26	15	59.7	28
68	15	65.9	28
43	15	66.2	28
95	15	68.2	28
88	15	71.8	28
79	15	71.9	28
16	16	0.0	20
57	16	6.5	20
91	16	7.7	20
71	16	12.8	20
42	16	15.5	20
76	16	18.1	20
65	16	19.0	20
4	16	26.4	20
6	16	27.9	20
99	16	28.0	20
17	17	0.0	34
40	17	19.9	34
56	17	45.3	34
1	17	58.5	34
30	17	63.6	34
92	17	65.1	34
50	17	81.3	34
97	17	85.1	34
80	17	95.2	34
8	17	117.8	34
18	18	0.0	25
19	18	8.3	25
28	18	8.5	25
74	18	16.7	25
5	18	28.2	25
8	18	36.8	25
81	18	48.1	25
47	18	49.5	25
50	18	53.3	25
80	18	54.7	25
19	19	0.0	6
28	19	0.4	6
18	19	2.0	6
74	19	4.6	6
5	19	4.8	6
8	19	7.5	6
47	19	9.9	6
81	19	10.4	6
80	19	12.0	6
6	19	12.6	6
20	20	0.0	32
100	20	9.0	32
79	20	17.8	32
68	20	20.5	32
14	20	20.5	32
88	20	21.9	32
26	20	26.0	32
95	20	29.2	32
3	20	30.3	32
43	20	32.2	32
21	21	0.0	28
12	21	14.4	28
10	21	29.2	28
33	21	29.6	28
29	21	37.4	28
44	21	53.8	28
64	21	54.5	28
72	21	61.7	28
48	21	67.2	28
32	21	67.6	28
22	22	0.0	29
41	22	3.2	29
35	22	13.6	29
23	22	25.0	29
61	22	42.3	29
13	22	44.4	29
96	22	52.4	29
58	22	53.4	29
90	22	57.2	29
25	22	58.8	29
23	23	0.0	29
41	23	22.9	29
22	23	25.0	29
90	23	33.3	29
35	23	36.7	29
96	23	41.1	29
73	23	42.1	29
61	23	57.6	29
59	23	61.7	29
63	23	61.8	29
24	24	0.0	19
46	24	10.1	19
85	24	13.5	19
81	24	15.0	19
77	24	16.6	19
72	24	23.1	19
99	24	27.8	19
53	24	30.3	19
32	24	33.7	19
84	24	38.4	19
